Signal Legend:

Key        Signal Name

0        = fft_1024_16:fft_submod|fft_real_out[15..0]
1        = fft_1024_16:fft_submod|fft_imag_out[15..0]
2        = fft_1024_16:fft_submod|master_source_sop
3        = equal:equal1|out_sop
4        = korr:koor1|out_i
5        = equal:equal1|ocenka_2_i[31..0]
6        = equal:equal1|ocenka_1_i[31..0]
7        = equal:equal1|div:divI|denom[31..0]
8        = equal:equal1|div:divI|numer[31..0]
9        = equal:equal1|div:divI|quotient[31..0]
10       = equal:equal1|comp_div:comp_div1|div65:div1|quotient[63..0]
11       = equal:equal1|mid_ocenka_i[31..0]
12       = equal:equal1|comp_div:comp_div1|i_data[31..0]
13       = equal:equal1|comp_div:comp_div1|mid_ocenka_i[31..0]
14       = equal:equal1|o_data_i[15..0]
15       = equal:equal1|o_data_q[15..0]

Data Table:

Signals-> 0     1     2 3 4 5     6     7     8         9     10     11    12        13    14     15     

sample

-964      -575  1142  0 0 0 10640 7056  1     1         1     -13    8848  -294912   8848  -11    17     
-963      -477  1314  0 0 0 10640 7056  1     1         1     -33    8848  393216    8848  -13    24     
-962      -1244 -449  0 0 0 10640 7056  1     1         1     -2     8848  -294912   8848  -33    25     
-961      483   -1152 0 0 0 10640 7056  1     1         1     -62    8848  -1703936  8848  -2     10     
-960      -692  1253  0 0 0 10640 7056  1     1         1     -20    8848  -1835008  8848  -62    48     
-959      439   -1153 0 0 0 10640 7056  1     1         20384 -12    8848  -1572864  8848  -20    49     
-958      403   -1353 0 0 0 7056  20384 2048  14385153  1     -25    8848  -1310720  8848  -12    -12    
-957      1129  403   0 0 0 7056  20384 1     1         1     -5     13720 41746432  13720 -25    10     
-956      1198  427   0 0 0 7056  20384 1     1         1     -28    13720 -14319616 13720 -5     24     
-955      646   -1340 0 0 0 7056  20384 1     1         1     -33    13720 -14286848 13720 -28    30     
-954      -441  1153  0 0 0 7056  20384 1     1         1     -17    13720 -40108032 13720 -33    40     
-953      -407  1323  0 0 0 7056  20384 1     1         1     -18    13720 17629184  13720 -17    8      
-952      -1173 -402  0 0 0 7056  20384 1     1         1     -15    13720 -18841600 13720 -18    -33    
-951      -1211 -434  0 0 0 7056  20384 1     1         1     -43    13720 -15630336 13720 -15    9      
-950      -634  1281  0 0 0 7056  20384 1     1         1     -60    13720 -40763392 13720 -43    77     
-949      567   -1217 0 0 0 7056  20384 1     1         7024  -102   13720 15826944  13720 -60    76     
-948      -531  1240  0 0 0 20384 7024  2048  18579457  1     -186   13720 -22675456 13720 -102   39     
-947      -1198 -517  0 0 0 20384 7024  1     1         1     2243   13704 14385152  13704 -186   -20    
-946      1222  588   0 0 0 20384 7024  1     1         1     821    13704 13205504  13704 2243   -874   
-945      -1138 -443  0 0 0 20384 7024  1     1         1     996    13704 36995072  13704 821    2040   
-944      -1230 -365  0 0 0 20384 7024  1     1         1     -2126  13704 39256064  13704 996    2229   
